area	co
0.440297	VA
2.02	MC
21	NR
26	TV
61.2	SM
160	LI
181.43	MH
269.358763	KN
298	MV
316	MT
348.5	GD
389	VC
439	BB
440.29	AG
459	SC
465.550362	PW
468	AD
617.012867	LC
702	FM
719.1	SG
748.506563	TO
751.096551	DM
765.004788	BH
811	KI
1001	ST
2034	KM
2040	MU
2586.4	LU
2842	WS
4033	CV
5128	TT
5765.313533	BN
9242.45	CY
10452	LB
10991.90954	JM
11300	GM
11437	QA
12190	VU
13812	ME
13878	BS
14918.72	TL
17364	SZ
17818	KW
18274	FJ
20273	SI
20742	SV
20770	IL
22966	BZ
23200	DJ
25713	MK
26338	RW
27750	HT
27834	BI
28051	GQ
28400	SB
28748	AL
29743.423459	AM
30355	LS
30528	BE
33846	MD
36125	GW
38394	BT
41285	CH
42201	NL
42925.46	DK
45339	EE
48670.82	DO
49035	SK
51100	CR
51197	BA
56594	HR
56785	TG
64589	LV
65300	LT
65610	LK
69700	GE
70273	IE
71740	SL
74177.3	PA
78866	CZ
83600	AE
83878.99	AT
86600	AZ
88361	RS
89341	JO
92212	PT
93011.4	HU
100295	KR
103004	IS
108889	GT
109884	CU
110993.6	BG
111369	LR
112492	HN
114763	BJ
117600	ER
118484.186083	MW
120540	KP
130375	NI
131957	GR
143100	TJ
147181.254346	NP
147570	BD
163270	SR
163610	TN
176215	UY
181035	KH
185180	SY
196722	SN
199951	KG
207600.496983	BY
214970	GY
236800	LA
238397	RO
238535	GH
241038	UG
242495.406794	GB
245857	GN
267667	GA
268021	NZ
274200	BF
283560	EC
301338	IT
309500	OM
312683	PL
322463	CI
330290	MY
331690	VN
338424.38	FI
342000	CG
343448	PH
357400	DE
377972.28	JP
385207	NO
390757	ZW
406756	PY
437072	IQ
448978	UZ
462840	PG
475442	CM
491210	TM
505990	ES
513119.5	TH
528861.06	SE
555000	YE
581309	KE
581737	BW
587295	MG
603629	UA
619745.304981	SS
622984	CF
637657	SO
643801	FR
652230	AF
676577.2	MM
710850	MA
752618	ZM
756102	CL
783562.05296	TR
801590	MZ
825615	NA
881913	PK
916445	VE
923768	NG
947303	TZ
1010407.87	EG
1030700	MR
1098581	BO
1104300	ET
1141748	CO
1221037	ZA
1240192	ML
1246700	AO
1267000	NE
1284000	TD
1285216	PE
1566000	MN
1648195	IR
1759541	LY
1886068	SD
1904570	ID
1972550	MX
2220930	DK
2250000	SA
2344858	CD
2381741	DZ
2724900	KZ
2780400	AR
3287263	IN
7692024	AU
8515767	BR
9596961	CN
9826675	US
9984670	CA
17125200	RU
