Stand	Klinikname	Bundesland	ICU low care	ICU high care	ECMO	COVID-19 cases
2020-04-07 18:05:12	Städtisches Klinikum Dresden, Städtisches Klinikum Dresden - Standort Friedrichstadt	SN	0.5	0.5		5.0
2020-04-08 21:05:06	Städtisches Klinikum Dresden, Städtisches Klinikum Dresden - Standort Neustadt/Trachau	SN	1.0	1.0		3.0
2020-04-08 15:05:05	Herzzentrum Dresden	SN	0.5	1.0	1.0	0.0
2020-04-06 21:05:07	Universitätsklinikum Carl Gustav Carus an der TU Dresden, Universitätsklinikum Carl Gustav Carus an der TU Dresden, Fetscherstr. 74, 01307 Dresden	SN	1.0	1.0	1.0	6.0
2020-04-07 18:05:12	ASKLEPIOS-ASB Klinik Radeberg, Asklepios-ASB Klinik Radeberg	SN	0.0	1.0		0.0
2020-04-06 21:05:07	Sächsisches Krankenhaus Arnsdorf, Arnsdorf	SN	0.0	0.5	0.0	0.0
2020-04-06 15:05:07	ELBLAND Reha- und Präventionsklinik Großenhain	SN	0.5	0.5		0.0
2020-04-06 15:05:07	Fachkrankenhaus Coswig, Hauptstandort	SN	1.0	1.0	1.0	3.0
2020-04-06 21:05:07	Helios Weißeritztal-Kliniken, Freital	SN	1.0	1.0		0.0
2020-04-09 09:05:09	Helios Klinikum Pirna, Hauptstandort	SN	1.0	1.0	1.0	1.0
2020-04-06 21:05:07	Asklepios Orthopädische Klinik Hohwald	SN	1.0	1.0		0.0
2020-04-08 18:05:07	Sächsische Schweiz Klinik Sebnitz, Hauptstandort	SN	0.5	0.5		0.0
2020-04-06 21:05:07	Sächsisches Krankenhaus Arnsdorf, Kamenz PSY	SN	1.0	1.0		0.0
2020-04-07 15:05:07	Sächsisches Krankenhaus Großschweidnitz, SKH Großschweidnitz	SN	1.0	0.0	0.0	
2020-04-06 15:05:07	Klinikum Oberlausitzer Bergland gemeinnützige GmbH, Standort Ebersbach	SN	1.0	1.0		0.0
2020-04-08 09:05:05	Klinikum Oberlausitzer Bergland gemeinnützige GmbH, Standort Zittau	SN	1.0	1.0		0.0
2020-04-06 21:05:07	Malteser Krankenhaus St. Carolus	SN	1.0	1.0		0.0
2020-04-08 18:05:07	Städt. Klinikum Görlitz gGmbH	SN		0.5		0.0
2020-04-08 12:05:05	Lausitzer Seenland Klinikum, Hauptstandort	SN	1.0	0.5	0.0	0.0
2020-04-07 21:05:06	Carl-Thiem-Klinikum Cottbus gGmbH, Hauptstandort	BB	1.0	1.0		1.0
2020-04-06 15:05:07	Sana-Herzzentrum Cottbus GmbH, Sana-Herzzentrum Cottbus	BB	1.0	1.0	1.0	0.0
2020-04-06 21:05:07	Krankenhaus Spremberg	BB	1.0	1.0		0.0
2020-04-06 21:05:07	Elbe-Elster-Klinikum GmbH, Elbe-Elster Klinikum Finsterwalde	BB	1.0	1.0		0.0
2020-04-09 09:05:09	Universitätsklinikum Leipzig AöR	SN	1.0	1.0	1.0	6.0
2020-04-06 21:05:07	Klinikum St.Georg Leipzig, Hauptstandort Leipzig Eutritzsch	SN	0.0	0.5		5.0
2020-04-06 21:05:07	Ev. Diakonissenkrankenhaus Leipzig, Hauptstandort	SN	1.0	1.0		0.0
2020-04-07 18:05:12	St. Elisabeth-Krankenhaus Leipzig gGmbH, Biedermannstraße 84, 04277 Leipzig	SN	1.0	1.0		
2020-04-07 18:05:12	HELIOS Park-Klinikum, Hauptstandort	SN	0.5	1.0		4.0
2020-04-08 12:05:05	Herzzentrum Leipzig, Herzzentrum	SN	1.0	1.0	1.0	0.0
2020-04-08 12:05:05	Helios Klinik Schkeuditz	SN	0.0	1.0		1.0
2020-04-09 09:05:09	Sana Kliniken Leipziger Land GmbH, Klinikum Borna	SN	1.0	1.0	0.0	0.0
2020-04-06 21:05:07	Klinikum Altenburger Land GmbH, Klinikum Altenburger Land	TH	1.0	1.0		2.0
2020-04-07 15:05:07	Muldentalkliniken GmbH - Gemeinnützige Gesellschaft, Krankenhaus Grimma	SN		1.0		0.0
2020-04-07 09:05:07	Helios Klinik Leisnig GmbH	SN	1.0	1.0		2.0
2020-04-08 00:05:07	COLLM KLINIK OSCHATZ GmbH, COLLM KLINIK OSCHATZ gmbH	SN	1.0	1.0		0.0
2020-04-07 18:05:12	Fachkrankenhaus Hubertusburg gGmbH Wermsdorf, Hauptstandort Wermsdorf	SN	1.0	1.0		0.0
2020-04-06 21:05:07	Kreiskrankenhaus Delitzsch GmbH, Kreiskrankenhaus Delitzsch GmbH Klinik Eilenburg	SN	1.0	1.0		1.0
2020-04-06 15:05:07	"Kreiskrankenhaus Torgau ""Johann Kentmann"""	SN	0.5	0.5		0.0
2020-04-08 12:05:05	Elbe-Elster-Klinikum GmbH, Elbe-Elster-Klinikum Herzberg	BB	1.0	1.0	1.0	1.0
2020-04-09 09:05:09	Krankenhaus St. Elisabeth und St. Barbara  Halle (Saale) GmbH, St. Elisabeth - Mauerstraße	ST		1.0		4.0
2020-04-06 15:05:07	BG Klinikum Bergmannstrost Halle gGmbH, BG Klinikum Bergmannstrost	ST	0.5	1.0		4.0
2020-04-06 21:05:07	Diakoniekrankenhaus Halle gGmbH	ST	1.0	1.0		0.0
2020-04-08 18:05:07	Krankenhaus Martha-Maria Halle-Dölau	ST	1.0	1.0		2.0
2020-04-07 18:05:12	Universitätsklinikum Halle (Saale), somatischer Hauptstandort	ST	1.0	1.0	1.0	8.0
2020-04-09 00:05:05	Carl-von-Basedow Klinikum Saalekreis gGmbH, Hauptstandort Standort Merseburg	ST	1.0	1.0	1.0	6.0
2020-04-06 21:05:07	HELIOS Kliniken Mansfeld-Südharz GmbH, HELIOS Klinik Hettstedt	ST	1.0	1.0		0.0
2020-04-08 12:05:05	Helios Klinik Köthen GmbH, Hauptstandort	ST	0.5	1.0		0.0
2020-04-06 21:05:07	AMEOS Klinikum Bernburg GmbH, AMEOS Klinikum Bernburg	ST	1.0	1.0		3.0
2020-04-06 21:05:07	AMEOS Klinikum Aschersleben-Staßfurt GmbH, AMEOS Klinikum Aschersleben	ST	1.0	1.0		0.0
