GENESIS-Tabelle: 12411-0021
Bevölkerung: Bundesländer, Stichtag zum Quartalsende,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Baden-Württemberg;Baden-Württemberg;Baden-Württemberg;Bayern;Bayern;Bayern;Berlin;Berlin;Berlin;Brandenburg;Brandenburg;Brandenburg;Bremen;Bremen;Bremen;Hamburg;Hamburg;Hamburg;Hessen;Hessen;Hessen;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen;Niedersachsen;Nordrhein-Westfalen;Nordrhein-Westfalen;Nordrhein-Westfalen;Rheinland-Pfalz;Rheinland-Pfalz;Rheinland-Pfalz;Saarland;Saarland;Saarland;Sachsen;Sachsen;Sachsen;Sachsen-Anhalt;Sachsen-Anhalt;Sachsen-Anhalt;Schleswig-Holstein;Schleswig-Holstein;Schleswig-Holstein;Thüringen;Thüringen;Thüringen
;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
31.12.2014;5284223;5432421;10716644;6249965;6441603;12691568;1696218;1773631;3469849;1210474;1247398;2457872;324423;337465;661888;857446;905345;1762791;2991752;3102136;6093888;787945;811193;1599138;3846089;3980650;7826739;8606003;9032095;17638098;1970535;2041047;4011582;482599;506436;989035;1987607;2067667;4055274;1095797;1139751;2235548;1381451;1449413;2830864;1062930;1093829;2156759
31.03.2015;5300831;5437455;10738286;6262272;6445362;12707634;1701836;1776722;3478558;1212317;1248374;2460691;324969;337489;662458;863077;907589;1770666;2998493;3104173;6102666;788032;811065;1599097;3854227;3982636;7836863;8622774;9033748;17656522;1973876;2041004;4014880;482855;505727;988582;1988476;2065203;4053679;1095115;1137423;2232538;1384260;1450380;2834640;1062405;1092263;2154668
30.06.2015;5326117;5451397;10777514;6286912;6457563;12744475;1705629;1779366;3484995;1214704;1249822;2464526;325839;337770;663609;862709;907453;1770162;3007977;3108226;6116203;789077;811522;1600599;3868578;3991950;7860528;8642297;9040832;17683129;1978093;2043118;4021211;483898;505365;989263;1991129;2064759;4055888;1094982;1136062;2231044;1388417;1452599;2841016;1063081;1091735;2154816
30.09.2015;5360791;5470663;10831454;6320396;6475012;12795408;1712893;1783400;3496293;1221431;1253512;2474943;327502;338420;665922;865567;909660;1775227;3026651;3117941;6144592;792368;812805;1605173;3884820;3999500;7884320;8694276;9066363;17760639;1987874;2047707;4035581;486312;506076;992388;1998391;2067439;4065830;1099158;1136097;2235255;1393302;1455873;2849175;1066800;1091944;2158744
31.12.2015;5393388;5486230;10879618;6352172;6491342;12843514;1726533;1793498;3520031;1228283;1256543;2484826;330895;340594;671489;873062;914346;1787408;3047730;3128442;6176172;797832;814530;1612362;3915398;4011201;7926599;8768019;9097497;17865516;1999333;2053470;4052803;488631;506966;995597;2011561;2073290;4084851;1106689;1138781;2245470;1399458;1459256;2858714;1075139;1095575;2170714
31.03.2016;5410040;5494784;10904824;6363254;6496756;12860010;1737498;1802627;3540125;1230610;1258395;2489005;334020;342110;676130;874619;915392;1790011;3045588;3127664;6173252;797250;813954;1611204;3920197;4016065;7936262;8768480;9100201;17868681;2003806;2055738;4059544;490450;507844;998294;2009708;2071333;4081041;1106053;1137702;2243755;1408548;1464175;2872723;1071150;1093278;2164428
30.06.2016;5422433;5502648;10925081;6377470;6507513;12884983;1743684;1807264;3550948;1228718;1258793;2487511;334127;342129;676256;879808;918846;1798654;3047482;3129901;6177383;795233;813605;1608838;3926634;4021873;7948507;8772137;9103676;17875813;2005228;2056847;4062075;490143;507611;997754;2008066;2070331;4078397;1103986;1135442;2239428;1410883;1465990;2876873;1069027;1091916;2160943
30.09.2016;5432135;5511397;10943532;6395362;6521565;12916927;1748801;1812619;3561420;1230657;1261446;2492103;334832;342740;677572;883532;921784;1805316;3054407;3136257;6190664;794234;814007;1608241;3926749;4022664;7949413;8779299;9110968;17890267;2007752;2058960;4066712;489816;507420;997236;2009339;2071432;4080771;1103178;1134247;2237425;1412699;1468199;2880898;1068005;1090529;2158534
31.12.2016;5435665;5516228;10951893;6400820;6529931;12930751;1755700;1819130;3574830;1231683;1262965;2494648;335474;343279;678753;886289;924149;1810438;3066957;3146131;6213088;795467;815207;1610674;3923396;4022289;7945685;8776760;9113340;17890100;2006503;2059550;4066053;489416;507235;996651;2009991;2071792;4081783;1102454;1133798;2236252;1412665;1469261;2881926;1067878;1090250;2158128
31.03.2017;5448421;5520880;10969301;6415780;6536150;12951930;1761060;1822927;3583987;1231800;1263190;2494990;336150;343476;679626;890231;926670;1816901;3071461;3148229;6219690;794905;814696;1609601;3925920;4022431;7948351;8778398;9111456;17889854;2007856;2059159;4067015;489186;506848;996034;2008774;2069727;4078501;1100815;1131480;2232295;1414227;1470020;2884247;1066410;1088170;2154580
30.06.2017;5459724;5529651;10989375;6429638;6546853;12976491;1765350;1826709;3592059;1233019;1264939;2497958;335784;343294;679078;892448;928484;1820932;3076145;3152828;6228973;795475;815313;1610788;3932996;4029527;7962523;8780583;9113599;17894182;2009506;2060664;4070170;488822;506663;995485;2008156;2069308;4077464;1099371;1130316;2229687;1415462;1471426;2886888;1066047;1087452;2153499
30.09.2017;5471003;5539199;11010202;6434411;6554128;12988539;1770018;1831113;3601131;1235308;1267451;2502759;336120;343584;679704;896089;932034;1828123;3080848;3158112;6238960;795734;816413;1612147;3932330;4030523;7962853;8782880;9119153;17902033;2011372;2062182;4073554;488561;506604;995165;2009419;2070281;4079700;1096437;1128876;2225313;1416495;1473127;2889622;1064970;1086113;2151083
31.12.2017;5477341;5546084;11023425;6438503;6558701;12997204;1776267;1837228;3613495;1235971;1268069;2504040;336665;344367;681032;897207;933377;1830584;3081636;3161626;6243262;794873;816246;1611119;3931876;4030899;7962775;8787579;9124555;17912134;2011123;2062556;4073679;487895;506292;994187;2010214;2071094;4081308;1094876;1128205;2223081;1416535;1473286;2889821;1065004;1086201;2151205
31.03.2018;5483840;5548999;11032839;6447547;6561731;13009278;1779660;1839583;3619243;1235601;1267756;2503357;336550;343986;680536;898044;933833;1831877;3082865;3161771;6244636;793819;815319;1609138;3933701;4030031;7963732;8784518;9119083;17903601;2011938;2061856;4073794;487326;505271;992597;2007990;2067673;4075663;1091482;1125430;2216912;1416665;1473117;2889782;1062700;1084066;2146766
30.06.2018;5493608;5557112;11050720;6465384;6573330;13038714;1782592;1842338;3624930;1237240;1269338;2506578;336655;343935;680590;898930;935314;1834244;3086081;3164379;6250460;793865;815694;1609559;3942166;4036751;7978917;8790769;9123575;17914344;2014407;2063697;4078104;487145;505075;992220;2008176;2067086;4075262;1089854;1124027;2213881;1418060;1474917;2892977;1062020;1083440;2145460
30.09.2018;5501885;5564754;11066639;6480287;6586899;13067186;1787174;1846895;3634069;1238877;1271657;2510534;337278;344314;681592;901048;937472;1838520;3091573;3169265;6260838;794095;816146;1610241;3943741;4037835;7981576;8795906;9130201;17926107;2016691;2065572;4082263;486658;504775;991433;2009351;2067606;4076957;1088077;1122563;2210640;1419838;1476748;2896586;1061244;1082667;2143911
31.12.2018;5501693;5567840;11069533;6483793;6592928;13076721;1792801;1852025;3644826;1239460;1272457;2511917;338035;344951;682986;902048;939131;1841179;3093044;3172765;6265809;793639;816036;1609675;3943243;4039205;7982448;8798631;9134020;17932651;2017576;2067268;4084844;486159;504350;990509;2009619;2068318;4077937;1086679;1121642;2208321;1419457;1477255;2896712;1060814;1082331;2143145
31.03.2019;5508390;5570786;11079176;6489186;6594007;13083193;1797025;1855860;3652885;1239898;1272914;2512812;338654;345080;683734;902040;939163;1841203;3097727;3174297;6272024;793276;815359;1608635;3946256;4039933;7986189;8798306;9131775;17930081;2019714;2067470;4087184;485636;503584;989220;2008209;2066562;4074771;1084708;1119484;2204192;1419870;1477541;2897411;1059129;1080396;2139525
30.06.2019;5512311;5575097;11087408;6496370;6600832;13097202;1796496;1856144;3652640;1241501;1274699;2516200;338284;344900;683184;903114;940062;1843176;3099245;3176446;6275691;793419;815643;1609062;3947754;4043237;7990991;8797499;9132180;17929679;2020758;2068825;4089583;485174;503084;988258;2007085;2065575;4072660;1082613;1117675;2200288;1421069;1478816;2899885;1057847;1079308;2137155
30.09.2019;5518771;5582585;11101356;6505578;6611511;13117089;1797941;1858576;3656517;1243297;1276901;2520198;338974;345244;684218;904337;941815;1846152;3104436;3181186;6285622;793265;815981;1609246;3950788;4046674;7997462;8803047;9138344;17941391;2023253;2070763;4094016;484944;502853;987797;2006953;2065738;4072691;1081323;1116115;2197438;1422914;1480777;2903691;1056721;1077672;2134393
__________
Ab 30.06.2011: Ergebnisse auf Grundlage des Zensus 2011.
© Statistisches Bundesamt (Destatis), 2020
Stand: 24.04.2020 / 16:18:10
